"","ST_CASE","VEH_NO","HIT_RUNNAME","NUMOCCSNAME","L_STATENAME","SPEEDRELNAME","VSPD_LIM"
"1",10001,1,"No","01","Alabama","No",70
"2",10002,1,"No","01","Alabama","Unknown",70
"3",10003,1,"No","01","Georgia","Unknown",70
"4",10003,2,"No","01","Alabama","Unknown",70
"5",10003,3,"No","01","Michigan","No",70
"6",10004,1,"No","01","Alabama","Yes, Too Fast for Conditions",40
"7",10005,1,"No","02","Tennessee","Yes, Too Fast for Conditions",70
"8",10006,1,"No","01","Alabama","No",70
"9",10006,2,"No","03","Alabama","No",70
"10",10007,1,"No","01","Alabama","Unknown",60
"11",10007,2,"No","01","Alabama","No",60
"12",10008,1,"No","01","Alabama","No",70
"13",10009,1,"No","01","Alabama","No",70
"14",10010,1,"No","01","Texas","No",70
"15",10011,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"16",10011,2,"No","01","Alabama","No",70
"17",10012,1,"No","01","Alabama","Yes, Too Fast for Conditions",70
"18",10012,2,"No","01","Georgia","No",70
"19",10013,1,"No","04","Alabama","No",45
"20",10013,2,"No","01","Tennessee","No",55
"21",10014,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"22",10014,2,"No","01","Alabama","No",55
"23",10014,3,"No","01","Alabama","No",55
"24",10015,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"25",10016,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"26",10017,1,"No","01","Alabama","No",55
"27",10018,1,"No","02","Alabama","No",45
"28",10018,2,"No","01","Alabama","No",45
"29",10019,1,"No","03","Alabama","Unknown",25
"30",10020,1,"No","02","Alabama","Unknown",45
"31",10021,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"32",10022,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"33",10023,1,"No","01","Alabama","No",55
"34",10023,2,"No","01","Alabama","No",45
"35",10023,3,"No","01","Michigan","No",55
"36",10023,4,"No","01","Mississippi","No",55
"37",10024,1,"No","01","Alabama","No",65
"38",10024,2,"No","01","Florida","No",65
"39",10024,3,"No","01","Alabama","No",65
"40",10025,1,"No","02","Alabama","No",45
"41",10026,1,"No","01","Alabama","No",45
"42",10026,2,"No","01","Alabama","No",55
"43",10027,1,"No","02","Alabama","No",45
"44",10028,1,"No","01","Alabama","No",45
"45",10029,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"46",10030,1,"No","01","Alabama","No",55
"47",10031,1,"No","01","Alabama","No",55
"48",10031,2,"No","01","Alabama","No",55
"49",10031,3,"No","01","Illinois","No",45
"50",10032,1,"No","01","Alabama","No",55
"51",10033,1,"No","01","Florida","No",55
"52",10034,1,"No","02","Alabama","No",0
"53",10034,2,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"54",10035,1,"No","03","Alabama","No",45
"55",10036,1,"No","01","Alabama","No",45
"56",10037,1,"No","01","Alabama","Unknown",0
"57",10037,2,"No","01","Florida","No",50
"58",10038,1,"No","01","Alabama","No",55
"59",10038,2,"No","01","Alabama","No",55
"60",10039,1,"No","01","Alabama","Yes, Exceeded Speed Limit",25
"61",10040,1,"No","02","Alabama","No",45
"62",10041,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"63",10042,1,"No","03","Alabama","Unknown",35
"64",10042,2,"No","01","Alabama","No",40
"65",10043,1,"No","02","Alabama","No",45
"66",10043,2,"No","02","Alabama","No",45
"67",10044,1,"No","01","Alabama","No",35
"68",10045,1,"No","01","Alabama","No",55
"69",10046,1,"No","02","Alabama","No",35
"70",10047,1,"No","04","Alabama","Unknown",25
"71",10048,1,"No","01","Alabama","No",45
"72",10049,1,"No","01","Alabama","No",45
"73",10050,1,"No","01","Alabama","No",45
"74",10050,2,"No","03","Alabama","No",45
"75",10051,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"76",10051,2,"No","01","Alabama","No",55
"77",10052,1,"No","01","Alabama","Yes, Exceeded Speed Limit",30
"78",10053,1,"No","02","Alabama","No",45
"79",10054,1,"No","01","Alabama","No",50
"80",10054,2,"No","01","Alabama","No",0
"81",10055,1,"Yes","01","Alabama","No",35
"82",10055,2,"No","03","Alabama","Unknown",35
"83",10056,1,"No","01","Alabama","Yes, Specifics Unknown",65
"84",10057,1,"No","01","California","Yes, Exceeded Speed Limit",45
"85",10057,2,"No","04","Alabama","No",45
"86",10058,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"87",10059,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"88",10060,1,"No","01","Alabama","Unknown",45
"89",10060,2,"No","02","Alabama","No",45
"90",10061,1,"No","01","Alabama","No",0
"91",10061,2,"No","01","Alabama","No",50
"92",10062,1,"No","02","Alabama","No",45
"93",10063,1,"No","02","Alabama","Yes, Exceeded Speed Limit",35
"94",10064,1,"No","01","Alabama","No",55
"95",10065,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"96",10066,1,"Yes","Unknown","Unknown","Unknown",40
"97",10067,1,"No","01","Alabama","No",45
"98",10068,1,"No","01","Alabama","No",55
"99",10069,1,"No","02","Alabama","No",55
"100",10070,1,"No","03","Alabama","Yes, Exceeded Speed Limit",45
"101",10071,1,"No","01","Alabama","No",45
"102",10072,1,"No","02","Michigan","Yes, Too Fast for Conditions",45
"103",10074,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"104",10075,1,"No","01","Georgia","No",45
"105",10075,2,"No","01","Alabama","No",55
"106",10076,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"107",10077,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"108",10078,1,"No","01","Alabama","No",55
"109",10079,1,"No","01","Alabama","No",45
"110",10080,1,"No","01","Alabama","No",45
"111",10081,1,"No","01","Alabama","No",45
"112",10081,2,"No","01","Alabama","No",45
"113",10082,1,"No","01","Alabama","No",55
"114",10083,1,"No","01","Alabama","Yes, Exceeded Speed Limit",65
"115",10084,1,"No","02","Alabama","Yes, Exceeded Speed Limit",40
"116",10085,1,"No","01","Alabama","Yes, Exceeded Speed Limit",50
"117",10086,1,"No","01","Alabama","Unknown",30
"118",10087,1,"No","01","Alabama","No",70
"119",10088,1,"No","05","Alabama","No",70
"120",10088,2,"No","01","Alabama","No",70
"121",10089,1,"No","01","Alabama","No",70
"122",10090,1,"No","01","Alabama","No",70
"123",10090,2,"No","05","Alabama","No",70
"124",10090,3,"No","01","Alabama","No",70
"125",10091,1,"No","07","Alabama","No",70
"126",10092,1,"No","01","Alabama","No",70
"127",10093,1,"No","02","Alabama","Yes, Too Fast for Conditions",70
"128",10094,1,"No","02","Texas","Yes, Exceeded Speed Limit",70
"129",10094,2,"No","01","Alabama","No",70
"130",10095,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"131",10096,1,"No","01","Alabama","Yes, Too Fast for Conditions",70
"132",10097,1,"Yes","Unknown","Unknown","Unknown",40
"133",10097,2,"No","04","Alabama","No",40
