"","ST_CASE","VEH_NO","HIT_RUNNAME","NUMOCCSNAME","L_STATENAME","SPEEDRELNAME","VSPD_LIM"
"1",10001,1,"No","04","Alabama","Yes, Exceeded Speed Limit",45
"2",10002,1,"No","02","Alabama","No",35
"3",10002,2,"No","01","Alabama","No",35
"4",10002,3,"No","02","Alabama","No",35
"5",10002,4,"No","01","Alabama","No",35
"6",10003,1,"No","01","Alabama","Yes, Too Fast for Conditions",65
"7",10003,2,"No","01","Alabama","No",55
"8",10004,1,"No","05","Alabama","Yes, Exceeded Speed Limit",35
"9",10005,1,"No","01","Alabama","No",45
"10",10006,1,"No","01","Alabama","No",55
"11",10006,2,"No","02","Alabama","No",55
"12",10007,1,"No","01","Alabama","No",40
"13",10008,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"14",10008,2,"No","01","Alabama","No",45
"15",10009,1,"No","01","Alabama","No",45
"16",10009,2,"No","03","Alabama","No",45
"17",10010,1,"No","02","Alabama","No",65
"18",10010,2,"No","01","Alabama","No",65
"19",10011,1,"No","01","Alabama","No",40
"20",10011,2,"No","02","Alabama","No",60
"21",10012,1,"No","01","Alabama","No",40
"22",10012,2,"No","01","Alabama","No",15
"23",10013,1,"No","01","Alabama","No",45
"24",10014,1,"No","01","Alabama","Yes, Too Fast for Conditions",55
"25",10015,1,"Yes","01","Reported as Unknown","Reported as Unknown",45
"26",10016,1,"No","02","Alabama","Yes, Exceeded Speed Limit",55
"27",10016,2,"No","01","Alabama","No",55
"28",10017,1,"No","01","Alabama","No",40
"29",10017,2,"No","01","Alabama","No",40
"30",10018,1,"No","01","Alabama","No",55
"31",10018,2,"No","03","Alabama","No",55
"32",10019,1,"No","01","Georgia","No",30
"33",10020,1,"No","01","Alabama","Reported as Unknown",50
"34",10021,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"35",10021,2,"No","01","Alabama","No",35
"36",10022,1,"No","02","Alabama","No",55
"37",10023,1,"No","01","Alabama","No",45
"38",10024,1,"No","01","Alabama","No",45
"39",10024,2,"No","01","Georgia","No",45
"40",10025,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"41",10026,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"42",10026,2,"No","02","Alabama","No",55
"43",10027,1,"No","02","Alabama","Yes, Exceeded Speed Limit",65
"44",10028,1,"No","03","Alabama","No",60
"45",10029,1,"No","01","Mississippi","No",70
"46",10030,1,"No","01","Georgia","Yes, Exceeded Speed Limit",70
"47",10030,2,"No","02","Georgia","No",70
"48",10031,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"49",10031,2,"No","02","Alabama","No",70
"50",10031,3,"No","01","Alabama","No",70
"51",10032,1,"No","01","Alabama","No",70
"52",10033,1,"No","02","Alabama","No",70
"53",10034,1,"No","01","Alabama","Yes, Too Fast for Conditions",70
"54",10034,2,"No","01","Alabama","No",70
"55",10034,3,"No","02","Alabama","No",70
"56",10035,1,"No","01","Alabama","No",70
"57",10036,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"58",10037,1,"No","02","Ohio","Yes, Too Fast for Conditions",70
"59",10037,2,"No","01","Alabama","No",70
"60",10038,1,"No","01","Alabama","No",70
"61",10039,1,"No","02","Alabama","Yes, Exceeded Speed Limit",35
"62",10040,1,"No","02","Alabama","No",50
"63",10040,2,"No","02","Alabama","No",50
"64",10041,1,"No","02","Alabama","No",55
"65",10042,1,"No","03","Alabama","Yes, Exceeded Speed Limit",55
"66",10043,1,"No","01","Alabama","No",55
"67",10043,2,"No","01","Alabama","No",55
"68",10044,1,"No","02","Alabama","No",55
"69",10045,1,"No","01","Alabama","No",45
"70",10045,2,"No","01","Alabama","No",45
"71",10045,3,"No","01","Alabama","No",45
"72",10046,1,"No","01","Alabama","No",45
